Posicion,Equipo,Puntos,Forma,PJ,PG,PE,PP,GF,GC,Dif_Goles
1,Manchester City,91,WWWWW,38,28,7,3,96,34,62
2,Arsenal,89,WWWWW,38,28,5,5,91,29,62
3,Liverpool,82,WDWDL,38,24,10,4,86,41,45
4,Aston Villa,68,LDLDW,38,20,8,10,76,61,15
5,Tottenham,66,WLWLL,38,20,6,12,74,61,13
6,Chelsea,63,WWWWW,38,18,9,11,77,63,14
7,Newcastle,60,WLDWW,38,18,6,14,85,62,23
8,Manchester United,60,WWLLD,38,18,6,14,57,58,-1
9,West Ham,52,LWLDL,38,14,10,14,60,74,-14
10,Crystal Palace,49,WWWDW,38,13,10,15,57,58,-1
11,Brighton,48,LLDWL,38,12,12,14,55,62,-7
12,Bournemouth,48,LLLWW,38,13,9,16,54,67,-13
13,Fulham,47,WLDDL,38,13,8,17,55,61,-6
14,Wolves,46,LLLWL,38,13,7,18,50,65,-15
15,Everton,40,LWDWW,38,13,9,16,40,51,-11
16,Brentford,39,LWDLW,38,10,9,19,56,65,-9
17,Nottingham Forest,32,WLWLL,38,9,9,20,49,67,-18
18,Luton,26,LLDLL,38,6,8,24,52,85,-33
19,Burnley,24,LLLDW,38,5,9,24,41,78,-37
20,Sheffield Utd,16,LLLLL,38,3,7,28,35,104,-69
